Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Taxes
Uncategorized,99,$101.00,0,$0.00,$0.00,$101.00,$1.24
Afternoon Vibes,44,$585.00,0,$0.00,-$29.25,$555.75,$43.13
Basic Donuts,273,$546.00,0,$0.00,-$7.69,$538.31,$0.00
Beer,30,$170.00,0,$0.00,-$47.40,$122.60,$9.49
Bottled & Canned Drinks,37,$99.00,0,$0.00,$0.00,$99.00,$7.68
B’Fast Sandwiches,582,"$4,869.00",-1,-$8.00,-$277.17,"$4,583.83",$355.27
B’Rad Sandwiches,153,"$2,118.00",0,$0.00,-$59.58,"$2,058.42",$159.48
Catering & Events,25,$500.00,0,$0.00,$0.00,$500.00,$0.00
Coffee,359,"$1,508.55",-3,-$14.95,-$22.10,"$1,471.50",$0.00
Daily Specials,36,$196.00,0,$0.00,-$4.04,$191.96,$0.00
Donut Holes,61,$61.00,0,$0.00,$0.00,$61.00,$0.00
Donuts & Pop Beverages,18,$51.00,0,$0.00,-$2.00,$49.00,$1.57
Dozen Donuts,31,$904.00,0,$0.00,-$8.25,$895.75,$0.00
Just Bagels To Go,196,"$1,192.00",0,$0.00,-$16.28,"$1,175.72",$2.20
Locally Made ,2,$15.00,0,$0.00,$0.00,$15.00,$1.17
Merch,7,$88.00,0,$0.00,-$20.00,$68.00,$5.28
"Mimosas, Rose ",5,$34.00,0,$0.00,$0.00,$34.00,$2.65
Morning Ride,10,$81.00,0,$0.00,$0.00,$81.00,$6.29
Not-Coffee,85,$124.90,0,$0.00,-$0.22,$124.68,$0.00
Sidekicks,28,$238.00,0,$0.00,-$20.30,$217.70,$16.92
Sides,24,$79.50,0,$0.00,-$7.10,$72.40,$5.61
Soy & Charcoal BBQ,143,"$1,838.00",0,$0.00,-$12.60,"$1,825.40",$141.50
Specialty Donuts (Contains Refined Sugar & Soy),1052,"$3,332.00",-2,-$4.00,-$48.93,"$3,279.07",$114.16
Spreads To Go,110,$381.50,0,$0.00,-$5.88,$375.62,$1.41
Wholesale,2969,"$2,816.00",0,$0.00,$0.00,"$2,816.00",$0.00
